id,label
SHSE.600085_201901,1
SHSE.600085_201902,1
SHSE.600085_201903,0
SHSE.600085_201904,0
SHSE.600085_201905,0
SHSE.600085_201906,0
SHSE.600085_201907,1
SHSE.600085_201908,0
SHSE.600085_201909,1
SHSE.600085_201910,0
SHSE.600085_201911,0
SHSE.600085_201912,1
SHSE.600085_202001,0
SHSE.600085_202002,1
SHSE.600085_202003,0
SHSE.600089_201901,1
SHSE.600089_201902,1
SHSE.600089_201903,0
SHSE.600089_201904,0
SHSE.600089_201905,0
SHSE.600089_201906,0
SHSE.600089_201907,1
SHSE.600089_201908,0
SHSE.600089_201909,1
SHSE.600089_201910,0
SHSE.600089_201911,0
SHSE.600089_201912,1
SHSE.600089_202001,0
SHSE.600089_202002,0
SHSE.600089_202003,1
SHSE.600153_201901,1
SHSE.600153_201902,0
SHSE.600153_201903,1
SHSE.600153_201904,0
SHSE.600153_201905,1
SHSE.600153_201906,0
SHSE.600153_201907,0
SHSE.600153_201908,0
SHSE.600153_201909,0
SHSE.600153_201910,1
SHSE.600153_201911,0
SHSE.600153_201912,1
SHSE.600153_202001,0
SHSE.600153_202002,1
SHSE.600153_202003,0
SZSE.000333_201901,1
SZSE.000333_201902,0
SZSE.000333_201903,1
SZSE.000333_201904,1
SZSE.000333_201905,1
SZSE.000333_201906,1
SZSE.000333_201907,0
SZSE.000333_201908,0
SZSE.000333_201909,0
SZSE.000333_201910,0
SZSE.000333_201911,1
SZSE.000333_201912,0
SZSE.000333_202001,1
SZSE.000333_202002,0
SZSE.000333_202003,0
SHSE.600208_201901,1
SHSE.600208_201902,1
SHSE.600208_201903,0
SHSE.600208_201904,0
SHSE.600208_201905,0
SHSE.600208_201906,0
SHSE.600208_201907,1
SHSE.600208_201908,0
SHSE.600208_201909,1
SHSE.600208_201910,0
SHSE.600208_201911,0
SHSE.600208_201912,1
SHSE.600208_202001,1
SHSE.600208_202002,0
SHSE.600208_202003,0
SHSE.600170_201901,0
SHSE.600170_201902,1
SHSE.600170_201903,1
SHSE.600170_201904,0
SHSE.600170_201905,0
SHSE.600170_201906,1
SHSE.600170_201907,0
SHSE.600170_201908,0
SHSE.600170_201909,0
SHSE.600170_201910,0
SHSE.600170_201911,1
SHSE.600170_201912,1
SHSE.600170_202001,1
SHSE.600170_202002,0
SHSE.600170_202003,0
SHSE.600221_201901,0
SHSE.600221_201902,0
SHSE.600221_201903,1
SHSE.600221_201904,0
SHSE.600221_201905,0
SHSE.600221_201906,0
SHSE.600221_201907,0
SHSE.600221_201908,0
SHSE.600221_201909,0
SHSE.600221_201910,0
SHSE.600221_201911,0
SHSE.600221_201912,0
SHSE.600221_202001,0
SHSE.600221_202002,0
SHSE.600221_202003,0
SZSE.000338_201901,1
SZSE.000338_201902,1
SZSE.000338_201903,1
SZSE.000338_201904,1
SZSE.000338_201905,0
SZSE.000338_201906,1
SZSE.000338_201907,1
SZSE.000338_201908,1
SZSE.000338_201909,0
SZSE.000338_201910,0
SZSE.000338_201911,1
SZSE.000338_201912,1
SZSE.000338_202001,1
SZSE.000338_202002,0
SZSE.000338_202003,0
SHSE.600219_201901,0
SHSE.600219_201902,0
SHSE.600219_201903,0
SHSE.600219_201904,1
SHSE.600219_201905,0
SHSE.600219_201906,0
SHSE.600219_201907,0
SHSE.600219_201908,0
SHSE.600219_201909,0
SHSE.600219_201910,1
SHSE.600219_201911,0
SHSE.600219_201912,0
SHSE.600219_202001,1
SHSE.600219_202002,0
SHSE.600219_202003,1
SHSE.600176_201901,1
SHSE.600176_201902,0
SHSE.600176_201903,0
SHSE.600176_201904,1
SHSE.600176_201905,0
SHSE.600176_201906,1
SHSE.600176_201907,1
SHSE.600176_201908,0
SHSE.600176_201909,0
SHSE.600176_201910,0
SHSE.600176_201911,1
SHSE.600176_201912,0
SHSE.600176_202001,1
SHSE.600176_202002,1
SHSE.600176_202003,0
SHSE.600177_201901,0
SHSE.600177_201902,1
SHSE.600177_201903,0
SHSE.600177_201904,1
SHSE.600177_201905,1
SHSE.600177_201906,0
SHSE.600177_201907,0
SHSE.600177_201908,1
SHSE.600177_201909,0
SHSE.600177_201910,0
SHSE.600177_201911,1
SHSE.600177_201912,1
SHSE.600177_202001,0
SHSE.600177_202002,0
SHSE.600177_202003,1
SHSE.600183_201901,0
SHSE.600183_201902,1
SHSE.600183_201903,0
SHSE.600183_201904,0
SHSE.600183_201905,1
SHSE.600183_201906,0
SHSE.600183_201907,0
SHSE.600183_201908,0
SHSE.600183_201909,1
SHSE.600183_201910,1
SHSE.600183_201911,0
SHSE.600183_201912,0
SHSE.600183_202001,0
SHSE.600183_202002,0
SHSE.600183_202003,0
SHSE.600233_201901,1
SHSE.600233_201902,0
SHSE.600233_201903,0
SHSE.600233_201904,0
SHSE.600233_201905,1
SHSE.600233_201906,0
SHSE.600233_201907,1
SHSE.600233_201908,1
SHSE.600233_201909,1
SHSE.600233_201910,1
SHSE.600233_201911,0
SHSE.600233_201912,0
SHSE.600233_202001,0
SHSE.600233_202002,1
SHSE.600233_202003,1
SZSE.000413_201901,1
SZSE.000413_201902,0
SZSE.000413_201903,0
SZSE.000413_201904,0
SZSE.000413_201905,1
SZSE.000413_201906,0
SZSE.000413_201907,0
SZSE.000413_201908,0
SZSE.000413_201909,0
SZSE.000413_201910,1
SZSE.000413_201911,0
SZSE.000413_201912,0
SZSE.000413_202001,0
SZSE.000413_202002,0
SZSE.000413_202003,0
SHSE.600188_201901,0
SHSE.600188_201902,0
SHSE.600188_201903,1
SHSE.600188_201904,1
SHSE.600188_201905,0
SHSE.600188_201906,0
SHSE.600188_201907,0
SHSE.600188_201908,0
SHSE.600188_201909,0
SHSE.600188_201910,1
SHSE.600188_201911,1
SHSE.600188_201912,1
SHSE.600188_202001,1
SHSE.600188_202002,0
SHSE.600188_202003,0
SZSE.000415_201901,0
SZSE.000415_201902,0
SZSE.000415_201903,0
SZSE.000415_201904,1
SZSE.000415_201905,0
SZSE.000415_201906,0
SZSE.000415_201907,1
SZSE.000415_201908,1
SZSE.000415_201909,0
SZSE.000415_201910,0
SZSE.000415_201911,1
SZSE.000415_201912,0
SZSE.000415_202001,0
SZSE.000415_202002,0
SZSE.000415_202003,0
SHSE.600196_201901,1
SHSE.600196_201902,1
SHSE.600196_201903,1
SHSE.600196_201904,1
SHSE.600196_201905,1
SHSE.600196_201906,1
SHSE.600196_201907,0
SHSE.600196_201908,0
SHSE.600196_201909,0
SHSE.600196_201910,0
SHSE.600196_201911,1
